"","year","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,0,1,2,13,32,68,115,237,529,1068,1534,2229,3599,4705,5096,6128,7010,4987,2119,425,37
"2",1996,1,0,1,21,31,72,135,203,482,1163,1527,2179,3409,4690,5167,5592,6382,4813,1914,412,43
"3",1997,2,0,3,11,38,81,103,234,437,1110,1575,2253,3457,4647,5340,5551,6130,4756,2034,468,42
"4",1998,2,1,3,14,35,66,132,225,436,1153,1591,2279,3264,4763,5588,5375,6095,4854,2058,487,37
"5",1999,3,2,1,8,34,81,135,266,475,1010,1734,2399,3343,4754,5862,5593,6021,4925,2174,506,40
"6",2000,2,1,3,10,36,79,143,246,425,892,1799,2337,3184,4493,5718,5619,5433,4667,2133,466,54
"7",2001,4,0,2,7,32,69,149,261,423,915,1916,2284,3255,4486,5818,5957,5419,4678,2198,451,55
"8",2002,1,1,1,7,32,76,149,275,479,847,1969,2311,3229,4424,5759,6343,5464,4796,2283,517,54
"9",2003,2,1,1,6,25,64,169,272,466,801,1859,2496,3218,4432,5794,6673,5636,4934,2481,565,63
"10",2004,2,0,0,9,39,65,164,291,466,789,1578,2407,3335,4192,5678,6653,5632,4437,2485,620,59
"11",2005,2,0,1,12,26,67,157,280,507,811,1555,2795,3468,4281,5901,7097,6428,4890,2747,715,85
"12",2006,1,1,1,6,19,60,139,277,521,843,1433,2938,3193,4233,5627,6937,6676,4733,2737,728,78
"13",2007,3,0,2,9,28,54,148,248,531,775,1312,2703,3133,4175,5565,6849,6943,4853,2720,770,74
"14",2008,1,1,2,4,26,46,131,280,541,748,1305,2628,3393,4181,5433,7086,7337,5150,2821,830,99
"15",2009,1,1,0,9,27,35,112,256,508,813,1338,2340,3437,4283,5135,6901,7606,5256,2690,840,88
"16",2010,2,0,1,5,13,42,108,280,453,820,1212,2208,3717,4349,5216,6931,7902,5600,2821,853,102
"17",2011,2,0,2,5,30,43,124,264,544,767,1379,2016,3988,4219,5232,6928,7979,6061,2932,889,115
"18",2012,3,2,2,5,21,37,103,264,544,804,1226,1972,3855,4264,5138,6826,7857,6528,2926,915,88
"19",2013,3,2,0,7,26,47,86,246,523,816,1223,1810,3491,4245,5105,6450,7742,6444,2813,790,123
"20",2014,1,0,0,7,20,32,90,202,562,772,1217,1678,3273,4370,5286,6261,7556,6582,2990,835,111
"21",2015,3,0,1,3,10,34,66,190,504,791,1195,1616,2946,4519,5005,6093,7443,6475,3185,812,123
"22",2016,0,0,1,2,13,22,74,166,437,838,1136,1671,2651,4727,4799,5936,7159,6439,3340,820,128
"23",2017,1,0,0,6,14,19,65,141,404,804,1154,1635,2451,4628,4792,6101,7190,6557,3505,844,114
"24",2018,1,0,1,2,9,12,52,133,345,737,1156,1588,2413,4509,5171,6080,7246,6637,3741,835,131
"25",2019,3,0,2,1,14,15,38,140,328,728,1182,1648,2360,3880,5256,6163,6824,6409,3601,852,88
