"","year","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,2,0,2,5,7,8,37,58,130,277,376,661,1230,2124,3643,5629,8188,7680,4177,1121,135
"2",1996,1,0,0,0,6,10,36,51,100,277,360,560,1188,1931,3458,5348,7577,7476,3851,1144,135
"3",1997,3,0,1,3,8,13,28,47,102,276,344,564,1103,1930,3300,5226,7298,7566,4060,1271,149
"4",1998,0,0,1,3,9,18,25,44,86,230,378,559,1048,1937,3105,5151,7255,7507,4291,1285,172
"5",1999,2,0,0,3,4,16,30,46,101,239,368,632,1038,1950,3295,5462,7127,7902,4644,1385,172
"6",2000,0,1,1,8,5,12,37,53,83,189,358,532,976,1812,3056,4922,6638,7472,4573,1361,206
"7",2001,1,1,0,1,8,20,32,56,86,205,436,562,956,1837,3023,4803,6593,7351,4824,1440,223
"8",2002,0,0,0,5,6,14,36,62,85,163,412,548,997,1728,2870,4670,6666,7336,5057,1496,236
"9",2003,1,1,3,7,5,10,28,56,106,146,358,588,951,1635,2960,4816,6705,7482,5355,1764,288
"10",2004,0,1,0,0,4,15,29,64,106,173,340,549,936,1482,2680,4629,6577,7177,5265,1956,281
"11",2005,2,0,0,3,11,17,22,68,100,160,295,612,938,1558,2928,4810,7018,7499,5965,2180,329
"12",2006,1,1,0,3,6,16,40,59,118,179,323,667,858,1493,2757,4670,6899,7593,5811,2285,343
"13",2007,1,0,1,4,3,12,46,75,96,160,286,597,870,1431,2728,4500,6857,7655,5935,2441,409
"14",2008,1,0,1,3,3,18,22,67,106,142,270,558,855,1472,2671,4550,6982,7836,5902,2535,425
"15",2009,0,0,1,2,3,13,23,61,119,166,262,474,832,1351,2439,4238,6746,7883,5891,2684,487
"16",2010,2,0,0,2,7,11,32,61,109,157,264,459,913,1357,2353,4422,6946,7996,6062,2772,526
"17",2011,0,1,1,2,7,13,17,46,128,180,243,420,938,1346,2277,4330,6734,8185,6139,2679,534
"18",2012,2,1,0,1,6,11,20,44,103,168,252,364,906,1264,2315,4289,6726,7987,6278,2807,525
"19",2013,1,0,1,1,1,16,28,52,119,167,243,354,797,1305,2156,3973,6476,7835,6027,2624,533
"20",2014,1,0,3,4,3,7,21,45,97,164,239,379,722,1286,2188,3776,6135,7705,6117,2523,537
"21",2015,0,0,1,1,5,8,11,40,94,150,250,302,600,1207,2051,3411,5932,7421,5971,2634,503
"22",2016,1,1,2,1,5,11,15,44,115,154,216,271,568,1289,1889,3399,5734,7090,6124,2534,547
"23",2017,0,0,0,3,1,9,14,26,71,147,186,256,545,1270,1880,3303,5568,7126,5883,2501,578
"24",2018,3,0,0,2,1,6,14,34,71,165,209,260,527,1205,1949,3345,5363,7094,5889,2582,489
"25",2019,1,1,0,1,2,4,11,26,70,159,212,300,483,1034,1853,3203,5025,6647,5678,2534,487
