"","year","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,1687,2210,4028,7375,9477,11929,17309,23251,31257,40485,54434,52500,32553,10278,1696
"2",1996,1589,2130,3708,7478,8813,11478,16820,22699,30160,39295,51795,52921,31656,11038,1648
"3",1997,1618,2115,3529,7397,8768,11735,16780,22679,30455,39746,52527,56369,34365,12416,1982
"4",1998,1731,2242,3394,6965,9325,11963,16490,22983,31121,41070,53216,57936,37093,13842,2391
"5",1999,1765,2117,3310,6439,9628,12699,16468,23514,32708,44065,55002,63471,43243,16185,2890
"6",2000,1730,2221,3250,5785,10176,12151,15597,23073,31630,43089,53312,62020,44031,16519,3109
"7",2001,1762,2122,3098,5392,10667,11436,15318,22886,31728,43667,54042,62976,47909,17687,3693
"8",2002,1791,2199,2988,4950,10196,11474,15376,22334,31807,43874,55022,63804,51234,19473,4277
"9",2003,1850,2254,2993,4715,9530,11814,15389,22028,32244,44626,57962,66742,55674,22653,4819
"10",2004,1813,2353,2955,4686,8990,12734,16132,21542,31922,45585,60542,67052,58974,25298,5723
"11",2005,1940,2336,3065,4542,8275,13334,16135,21434,33102,47239,64696,72123,65149,29843,6558
"12",2006,1768,2350,3064,4436,7627,13838,14854,21247,32628,47360,65382,74219,68039,32650,7261
"13",2007,1643,2419,3003,4400,7194,13604,15227,21409,32333,47903,67366,78610,71131,35963,8185
"14",2008,1741,2511,3075,4399,6694,12637,15871,21209,32507,49199,70284,83602,74850,40086,9791
"15",2009,1595,2528,3189,4375,6443,11294,15928,21811,30555,47744,70438,86716,75651,42327,10807
"16",2010,1568,2473,3191,4383,6450,10876,17464,22169,31125,49630,73484,94362,83328,47914,12769
"17",2011,1704,2776,3678,4903,6813,10988,19714,22224,32357,51977,77998,100655,90647,51230,14470
"18",2012,1343,2218,3345,4300,6338,9466,17879,21381,31599,50652,78730,105140,97115,54415,15669
"19",2013,1300,2103,3250,4444,6314,8991,17224,22208,31559,50128,80011,108345,102532,56607,16585
"20",2014,1263,2033,3268,4458,6078,9002,15834,23014,32487,48763,79434,110615,107438,56138,17905
"21",2015,1163,1803,3205,4364,6109,8356,14417,23873,32488,48117,80257,113798,112944,61409,18875
"22",2016,1075,1773,3030,4501,6222,8316,13215,25263,30848,47820,80925,115490,118837,65365,20234
"23",2017,1044,1571,2989,4525,5969,8186,12315,25042,30517,48307,81687,119519,125476,71708,21543
"24",2018,993,1518,2815,4643,6187,8202,11915,23558,32037,49313,81526,122784,131429,75887,22233
"25",2019,966,1512,2651,4636,6153,8210,11637,21715,32956,50760,80642,124978,137940,81162,22959
