Year,sex,age,pops,Age,Sex
1995,men,0,3074000,age00_04,/men
1995,men,5,3358000,age05_09,/men
1995,men,10,3836000,age10_14,/men
1995,men,15,4386000,age15_19,/men
1995,men,20,5048000,age20_24,/men
1995,men,25,4521000,age25_29,/men
1995,men,30,4069000,age30_34,/men
1995,men,35,3950000,age35_39,/men
1995,men,40,4530000,age40_44,/men
1995,men,45,5360000,age45_49,/men
1995,men,50,4382000,age50_54,/men
1995,men,55,3916000,age55_59,/men
1995,men,60,3628000,age60_64,/men
1995,men,65,3009000,age65_69,/men
1995,men,70,1954000,age70_74,/men
1995,men,75,1253000,age75_79,/men
1995,men,80,1307000,age80_,/men
1995,women,0,2928000,age00_04,/women
1995,women,5,3195000,age05_09,/women
1995,women,10,3654000,age10_14,/women
1995,women,15,4168000,age15_19,/women
1995,women,20,4856000,age20_24,/women
1995,women,25,4398000,age25_29,/women
1995,women,30,3964000,age30_34,/women
1995,women,35,3876000,age35_39,/women
1995,women,40,4481000,age40_44,/women
1995,women,45,5320000,age45_49,/women
1995,women,50,4453000,age50_54,/women
1995,women,55,4054000,age55_59,/women
1995,women,60,3875000,age60_64,/women
1995,women,65,3404000,age65_69,/women
1995,women,70,2770000,age70_74,/women
1995,women,75,2019000,age75_79,/women
1995,women,80,2578000,age80_,/women
1996,men,0,3058000,age00_04,/men
1996,men,5,3266000,age05_09,/men
1996,men,10,3756000,age10_14,/men
1996,men,15,4233000,age15_19,/men
1996,men,20,4999000,age20_24,/men
1996,men,25,4667000,age25_29,/men
1996,men,30,4113000,age30_34,/men
1996,men,35,3934000,age35_39,/men
1996,men,40,4308000,age40_44,/men
1996,men,45,5466000,age45_49,/men
1996,men,50,4354000,age50_54,/men
1996,men,55,4003000,age55_59,/men
1996,men,60,3675000,age60_64,/men
1996,men,65,3093000,age65_69,/men
1996,men,70,2118000,age70_74,/men
1996,men,75,1283000,age75_79,/men
1996,men,80,1358000,age80_,/men
1996,women,0,2909000,age00_04,/women
1996,women,5,3110000,age05_09,/women
1996,women,10,3580000,age10_14,/women
1996,women,15,4022000,age15_19,/women
1996,women,20,4793000,age20_24,/women
1996,women,25,4540000,age25_29,/women
1996,women,30,4013000,age30_34,/women
1996,women,35,3861000,age35_39,/women
1996,women,40,4258000,age40_44,/women
1996,women,45,5426000,age45_49,/women
1996,women,50,4422000,age50_54,/women
1996,women,55,4146000,age55_59,/women
1996,women,60,3928000,age60_64,/women
1996,women,65,3476000,age65_69,/women
1996,women,70,2872000,age70_74,/women
1996,women,75,2104000,age75_79,/women
1996,women,80,2716000,age80_,/women
1997,men,0,3053000,age00_04,/men
1997,men,5,3191000,age05_09,/men
1997,men,10,3671000,age10_14,/men
1997,men,15,4107000,age15_19,/men
1997,men,20,4899000,age20_24,/men
1997,men,25,4824000,age25_29,/men
1997,men,30,4177000,age30_34,/men
1997,men,35,3940000,age35_39,/men
1997,men,40,4140000,age40_44,/men
1997,men,45,5407000,age45_49,/men
1997,men,50,4401000,age50_54,/men
1997,men,55,4112000,age55_59,/men
1997,men,60,3706000,age60_64,/men
1997,men,65,3163000,age65_69,/men
1997,men,70,2287000,age70_74,/men
1997,men,75,1324000,age75_79,/men
1997,men,80,1405000,age80_,/men
1997,women,0,2907000,age00_04,/women
1997,women,5,3037000,age05_09,/women
1997,women,10,3498000,age10_14,/women
1997,women,15,3899000,age15_19,/women
1997,women,20,4680000,age20_24,/women
1997,women,25,4688000,age25_29,/women
1997,women,30,4074000,age30_34,/women
1997,women,35,3863000,age35_39,/women
1997,women,40,4094000,age40_44,/women
1997,women,45,5375000,age45_49,/women
1997,women,50,4459000,age50_54,/women
1997,women,55,4254000,age55_59,/women
1997,women,60,3959000,age60_64,/women
1997,women,65,3546000,age65_69,/women
1997,women,70,2975000,age70_74,/women
1997,women,75,2203000,age75_79,/women
1997,women,80,2851000,age80_,/women
1998,men,0,3058000,age00_04,/men
1998,men,5,3134000,age05_09,/men
1998,men,10,3571000,age10_14,/men
1998,men,15,4005000,age15_19,/men
1998,men,20,4740000,age20_24,/men
1998,men,25,4951000,age25_29,/men
1998,men,30,4266000,age30_34,/men
1998,men,35,3969000,age35_39,/men
1998,men,40,4026000,age40_44,/men
1998,men,45,5129000,age45_49,/men
1998,men,50,4643000,age50_54,/men
1998,men,55,4212000,age55_59,/men
1998,men,60,3708000,age60_64,/men
1998,men,65,3227000,age65_69,/men
1998,men,70,2435000,age70_74,/men
1998,men,75,1398000,age75_79,/men
1998,men,80,1450000,age80_,/men
1998,women,0,2906000,age00_04,/women
1998,women,5,2981000,age05_09,/women
1998,women,10,3401000,age10_14,/women
1998,women,15,3810000,age15_19,/women
1998,women,20,4522000,age20_24,/women
1998,women,25,4801000,age25_29,/women
1998,women,30,4169000,age30_34,/women
1998,women,35,3892000,age35_39,/women
1998,women,40,3982000,age40_44,/women
1998,women,45,5112000,age45_49,/women
1998,women,50,4688000,age50_54,/women
1998,women,55,4358000,age55_59,/women
1998,women,60,3959000,age60_64,/women
1998,women,65,3615000,age65_69,/women
1998,women,70,3067000,age70_74,/women
1998,women,75,2309000,age75_79,/women
1998,women,80,2987000,age80_,/women
1999,men,0,3053000,age00_04,/men
1999,men,5,3089000,age05_09,/men
1999,men,10,3465000,age10_14,/men
1999,men,15,3919000,age15_19,/men
1999,men,20,4561000,age20_24,/men
1999,men,25,5029000,age25_29,/men
1999,men,30,4373000,age30_34,/men
1999,men,35,4010000,age35_39,/men
1999,men,40,3951000,age40_44,/men
1999,men,45,4768000,age45_49,/men
1999,men,50,4947000,age50_54,/men
1999,men,55,4270000,age55_59,/men
1999,men,60,3710000,age60_64,/men
1999,men,65,3288000,age65_69,/men
1999,men,70,2565000,age70_74,/men
1999,men,75,1487000,age75_79,/men
1999,men,80,1490000,age80_,/men
1999,women,0,2903000,age00_04,/women
1999,women,5,2941000,age05_09,/women
1999,women,10,3298000,age10_14,/women
1999,women,15,3730000,age15_19,/women
1999,women,20,4343000,age20_24,/women
1999,women,25,4864000,age25_29,/women
1999,women,30,4279000,age30_34,/women
1999,women,35,3935000,age35_39,/women
1999,women,40,3912000,age40_44,/women
1999,women,45,4762000,age45_49,/women
1999,women,50,4982000,age50_54,/women
1999,women,55,4427000,age55_59,/women
1999,women,60,3962000,age60_64,/women
1999,women,65,3686000,age65_69,/women
1999,women,70,3153000,age70_74,/women
1999,women,75,2415000,age75_79,/women
1999,women,80,3123000,age80_,/women
2000,men,0,3031000,age00_04,/men
2000,men,5,3089000,age05_09,/men
2000,men,10,3366000,age10_14,/men
2000,men,15,3846000,age15_19,/men
2000,men,20,4315000,age20_24,/men
2000,men,25,4970000,age25_29,/men
2000,men,30,4512000,age30_34,/men
2000,men,35,4053000,age35_39,/men
2000,men,40,3928000,age40_44,/men
2000,men,45,4482000,age45_49,/men
2000,men,50,5233000,age50_54,/men
2000,men,55,4245000,age55_59,/men
2000,men,60,3777000,age60_64,/men
2000,men,65,3373000,age65_69,/men
2000,men,70,2680000,age70_74,/men
2000,men,75,1641000,age75_79,/men
2000,men,80,1567000,age80_,/men
2000,women,0,2890000,age00_04,/women
2000,women,5,2940000,age05_09,/women
2000,women,10,3203000,age10_14,/women
2000,women,15,3658000,age15_19,/women
2000,women,20,4121000,age20_24,/women
2000,women,25,4823000,age25_29,/women
2000,women,30,4407000,age30_34,/women
2000,women,35,3974000,age35_39,/women
2000,women,40,3876000,age40_44,/women
2000,women,45,4463000,age45_49,/women
2000,women,50,5251000,age50_54,/women
2000,women,55,4389000,age55_59,/women
2000,women,60,4013000,age60_64,/women
2000,women,65,3762000,age65_69,/women
2000,women,70,3238000,age70_74,/women
2000,women,75,2537000,age75_79,/women
2000,women,80,3277000,age80_,/women
2001,men,0,3022000,age00_04,/men
2001,men,5,3073000,age05_09,/men
2001,men,10,3269000,age10_14,/men
2001,men,15,3768000,age15_19,/men
2001,men,20,4200000,age20_24,/men
2001,men,25,4915000,age25_29,/men
2001,men,30,4670000,age30_34,/men
2001,men,35,4096000,age35_39,/men
2001,men,40,3917000,age40_44,/men
2001,men,45,4256000,age45_49,/men
2001,men,50,5390000,age50_54,/men
2001,men,55,4207000,age55_59,/men
2001,men,60,3844000,age60_64,/men
2001,men,65,3442000,age65_69,/men
2001,men,70,2763000,age70_74,/men
2001,men,75,1782000,age75_79,/men
2001,men,80,1631000,age80_,/men
2001,women,0,2874000,age00_04,/women
2001,women,5,2925000,age05_09,/women
2001,women,10,3109000,age10_14,/women
2001,women,15,3585000,age15_19,/women
2001,women,20,4008000,age20_24,/women
2001,women,25,4772000,age25_29,/women
2001,women,30,4566000,age30_34,/women
2001,women,35,4018000,age35_39,/women
2001,women,40,3861000,age40_44,/women
2001,women,45,4229000,age45_49,/women
2001,women,50,5412000,age50_54,/women
2001,women,55,4352000,age55_59,/women
2001,women,60,4081000,age60_64,/women
2001,women,65,3831000,age65_69,/women
2001,women,70,3313000,age70_74,/women
2001,women,75,2647000,age75_79,/women
2001,women,80,3466000,age80_,/women
2002,men,0,3010000,age00_04,/men
2002,men,5,3067000,age05_09,/men
2002,men,10,3197000,age10_14,/men
2002,men,15,3678000,age15_19,/men
2002,men,20,4105000,age20_24,/men
2002,men,25,4783000,age25_29,/men
2002,men,30,4796000,age30_34,/men
2002,men,35,4155000,age35_39,/men
2002,men,40,3925000,age40_44,/men
2002,men,45,4092000,age45_49,/men
2002,men,50,5269000,age50_54,/men
2002,men,55,4286000,age55_59,/men
2002,men,60,3950000,age60_64,/men
2002,men,65,3473000,age65_69,/men
2002,men,70,2828000,age70_74,/men
2002,men,75,1921000,age75_79,/men
2002,men,80,1706000,age80_,/men
2002,women,0,2860000,age00_04,/women
2002,women,5,2921000,age05_09,/women
2002,women,10,3043000,age10_14,/women
2002,women,15,3499000,age15_19,/women
2002,women,20,3915000,age20_24,/women
2002,women,25,4641000,age25_29,/women
2002,women,30,4703000,age30_34,/women
2002,women,35,4093000,age35_39,/women
2002,women,40,3876000,age40_44,/women
2002,women,45,4071000,age45_49,/women
2002,women,50,5299000,age50_54,/women
2002,women,55,4423000,age55_59,/women
2002,women,60,4195000,age60_64,/women
2002,women,65,3860000,age65_69,/women
2002,women,70,3380000,age70_74,/women
2002,women,75,2746000,age75_79,/women
2002,women,80,3660000,age80_,/women
2003,men,0,2981000,age00_04,/men
2003,men,5,3055000,age05_09,/men
2003,men,10,3143000,age10_14,/men
2003,men,15,3583000,age15_19,/men
2003,men,20,4025000,age20_24,/men
2003,men,25,4632000,age25_29,/men
2003,men,30,4904000,age30_34,/men
2003,men,35,4245000,age35_39,/men
2003,men,40,3953000,age40_44,/men
2003,men,45,3990000,age45_49,/men
2003,men,50,5007000,age50_54,/men
2003,men,55,4496000,age55_59,/men
2003,men,60,4057000,age60_64,/men
2003,men,65,3497000,age65_69,/men
2003,men,70,2891000,age70_74,/men
2003,men,75,2054000,age75_79,/men
2003,men,80,1797000,age80_,/men
2003,women,0,2827000,age00_04,/women
2003,women,5,2914000,age05_09,/women
2003,women,10,2990000,age10_14,/women
2003,women,15,3406000,age15_19,/women
2003,women,20,3836000,age20_24,/women
2003,women,25,4480000,age25_29,/women
2003,women,30,4809000,age30_34,/women
2003,women,35,4184000,age35_39,/women
2003,women,40,3908000,age40_44,/women
2003,women,45,3967000,age45_49,/women
2003,women,50,5043000,age50_54,/women
2003,women,55,4617000,age55_59,/women
2003,women,60,4309000,age60_64,/women
2003,women,65,3879000,age65_69,/women
2003,women,70,3450000,age70_74,/women
2003,women,75,2836000,age75_79,/women
2003,women,80,3858000,age80_,/women
2004,men,0,2942000,age00_04,/men
2004,men,5,3042000,age05_09,/men
2004,men,10,3106000,age10_14,/men
2004,men,15,3472000,age15_19,/men
2004,men,20,3948000,age20_24,/men
2004,men,25,4473000,age25_29,/men
2004,men,30,4956000,age30_34,/men
2004,men,35,4354000,age35_39,/men
2004,men,40,3981000,age40_44,/men
2004,men,45,3918000,age45_49,/men
2004,men,50,4687000,age50_54,/men
2004,men,55,4811000,age55_59,/men
2004,men,60,4071000,age60_64,/men
2004,men,65,3503000,age65_69,/men
2004,men,70,2963000,age70_74,/men
2004,men,75,2159000,age75_79,/men
2004,men,80,1917000,age80_,/men
2004,women,0,2793000,age00_04,/women
2004,women,5,2898000,age05_09,/women
2004,women,10,2955000,age10_14,/women
2004,women,15,3300000,age15_19,/women
2004,women,20,3765000,age20_24,/women
2004,women,25,4307000,age25_29,/women
2004,women,30,4857000,age30_34,/women
2004,women,35,4296000,age35_39,/women
2004,women,40,3939000,age40_44,/women
2004,women,45,3902000,age45_49,/women
2004,women,50,4722000,age50_54,/women
2004,women,55,4930000,age55_59,/women
2004,women,60,4331000,age60_64,/women
2004,women,65,3878000,age65_69,/women
2004,women,70,3527000,age70_74,/women
2004,women,75,2921000,age75_79,/women
2004,women,80,4075000,age80_,/women
2005,men,0,2868000,age00_04,/men
2005,men,5,3053000,age05_09,/men
2005,men,10,3091000,age10_14,/men
2005,men,15,3393000,age15_19,/men
2005,men,20,3776000,age20_24,/men
2005,men,25,4216000,age25_29,/men
2005,men,30,4954000,age30_34,/men
2005,men,35,4488000,age35_39,/men
2005,men,40,4030000,age40_44,/men
2005,men,45,3882000,age45_49,/men
2005,men,50,4403000,age50_54,/men
2005,men,55,5123000,age55_59,/men
2005,men,60,4123000,age60_64,/men
2005,men,65,3569000,age65_69,/men
2005,men,70,3062000,age70_74,/men
2005,men,75,2269000,age75_79,/men
2005,men,80,2044000,age80_,/men
2005,women,0,2731000,age00_04,/women
2005,women,5,2903000,age05_09,/women
2005,women,10,2939000,age10_14,/women
2005,women,15,3206000,age15_19,/women
2005,women,20,3609000,age20_24,/women
2005,women,25,4093000,age25_29,/women
2005,women,30,4832000,age30_34,/women
2005,women,35,4409000,age35_39,/women
2005,women,40,3973000,age40_44,/women
2005,women,45,3866000,age45_49,/women
2005,women,50,4429000,age50_54,/women
2005,women,55,5216000,age55_59,/women
2005,women,60,4347000,age60_64,/women
2005,women,65,3909000,age65_69,/women
2005,women,70,3617000,age70_74,/women
2005,women,75,3017000,age75_79,/women
2005,women,80,4321000,age80_,/women
2006,men,0,2819000,age00_04,/men
2006,men,5,3035000,age05_09,/men
2006,men,10,3077000,age10_14,/men
2006,men,15,3301000,age15_19,/men
2006,men,20,3747000,age20_24,/men
2006,men,25,4075000,age25_29,/men
2006,men,30,4878000,age30_34,/men
2006,men,35,4628000,age35_39,/men
2006,men,40,4077000,age40_44,/men
2006,men,45,3869000,age45_49,/men
2006,men,50,4182000,age50_54,/men
2006,men,55,5214000,age55_59,/men
2006,men,60,4099000,age60_64,/men
2006,men,65,3660000,age65_69,/men
2006,men,70,3125000,age70_74,/men
2006,men,75,2341000,age75_79,/men
2006,men,80,2195000,age80_,/men
2006,women,0,2682000,age00_04,/women
2006,women,5,2886000,age05_09,/women
2006,women,10,2927000,age10_14,/women
2006,women,15,3130000,age15_19,/women
2006,women,20,3561000,age20_24,/women
2006,women,25,3945000,age25_29,/women
2006,women,30,4750000,age30_34,/women
2006,women,35,4542000,age35_39,/women
2006,women,40,4020000,age40_44,/women
2006,women,45,3849000,age45_49,/women
2006,women,50,4205000,age50_54,/women
2006,women,55,5314000,age55_59,/women
2006,women,60,4323000,age60_64,/women
2006,women,65,3997000,age65_69,/women
2006,women,70,3676000,age70_74,/women
2006,women,75,3086000,age75_79,/women
2006,women,80,4547000,age80_,/women
2007,men,0,2786000,age00_04,/men
2007,men,5,3009000,age05_09,/men
2007,men,10,3068000,age10_14,/men
2007,men,15,3217000,age15_19,/men
2007,men,20,3708000,age20_24,/men
2007,men,25,3970000,age25_29,/men
2007,men,30,4745000,age30_34,/men
2007,men,35,4767000,age35_39,/men
2007,men,40,4136000,age40_44,/men
2007,men,45,3875000,age45_49,/men
2007,men,50,4025000,age50_54,/men
2007,men,55,5150000,age55_59,/men
2007,men,60,4146000,age60_64,/men
2007,men,65,3767000,age65_69,/men
2007,men,70,3173000,age70_74,/men
2007,men,75,2406000,age75_79,/men
2007,men,80,2355000,age80_,/men
2007,women,0,2654000,age00_04,/women
2007,women,5,2858000,age05_09,/women
2007,women,10,2920000,age10_14,/women
2007,women,15,3062000,age15_19,/women
2007,women,20,3514000,age20_24,/women
2007,women,25,3830000,age25_29,/women
2007,women,30,4611000,age30_34,/women
2007,women,35,4666000,age35_39,/women
2007,women,40,4075000,age40_44,/women
2007,women,45,3850000,age45_49,/women
2007,women,50,4039000,age50_54,/women
2007,women,55,5256000,age55_59,/women
2007,women,60,4364000,age60_64,/women
2007,women,65,4111000,age65_69,/women
2007,women,70,3714000,age70_74,/women
2007,women,75,3156000,age75_79,/women
2007,women,80,4778000,age80_,/women
2008,men,0,2774000,age00_04,/men
2008,men,5,2962000,age05_09,/men
2008,men,10,3061000,age10_14,/men
2008,men,15,3159000,age15_19,/men
2008,men,20,3642000,age20_24,/men
2008,men,25,3895000,age25_29,/men
2008,men,30,4568000,age30_34,/men
2008,men,35,4870000,age35_39,/men
2008,men,40,4216000,age40_44,/men
2008,men,45,3905000,age45_49,/men
2008,men,50,3917000,age50_54,/men
2008,men,55,4895000,age55_59,/men
2008,men,60,4363000,age60_64,/men
2008,men,65,3856000,age65_69,/men
2008,men,70,3190000,age70_74,/men
2008,men,75,2472000,age75_79,/men
2008,men,80,2510000,age80_,/men
2008,women,0,2639000,age00_04,/women
2008,women,5,2816000,age05_09,/women
2008,women,10,2914000,age10_14,/women
2008,women,15,3011000,age15_19,/women
2008,women,20,3449000,age20_24,/women
2008,women,25,3742000,age25_29,/women
2008,women,30,4433000,age30_34,/women
2008,women,35,4759000,age35_39,/women
2008,women,40,4151000,age40_44,/women
2008,women,45,3874000,age45_49,/women
2008,women,50,3929000,age50_54,/women
2008,women,55,4998000,age55_59,/women
2008,women,60,4572000,age60_64,/women
2008,women,65,4210000,age65_69,/women
2008,women,70,3720000,age70_74,/women
2008,women,75,3227000,age75_79,/women
2008,women,80,4997000,age80_,/women
2009,men,0,2761000,age00_04,/men
2009,men,5,2907000,age05_09,/men
2009,men,10,3048000,age10_14,/men
2009,men,15,3117000,age15_19,/men
2009,men,20,3548000,age20_24,/men
2009,men,25,3832000,age25_29,/men
2009,men,30,4369000,age30_34,/men
2009,men,35,4918000,age35_39,/men
2009,men,40,4314000,age40_44,/men
2009,men,45,3942000,age45_49,/men
2009,men,50,3846000,age50_54,/men
2009,men,55,4564000,age55_59,/men
2009,men,60,4638000,age60_64,/men
2009,men,65,3907000,age65_69,/men
2009,men,70,3215000,age70_74,/men
2009,men,75,2538000,age75_79,/men
2009,men,80,2672000,age80_,/men
2009,women,0,2625000,age00_04,/women
2009,women,5,2765000,age05_09,/women
2009,women,10,2903000,age10_14,/women
2009,women,15,2972000,age15_19,/women
2009,women,20,3362000,age20_24,/women
2009,women,25,3669000,age25_29,/women
2009,women,30,4238000,age30_34,/women
2009,women,35,4797000,age35_39,/women
2009,women,40,4246000,age40_44,/women
2009,women,45,3904000,age45_49,/women
2009,women,50,3859000,age50_54,/women
2009,women,55,4665000,age55_59,/women
2009,women,60,4848000,age60_64,/women
2009,women,65,4271000,age65_69,/women
2009,women,70,3730000,age70_74,/women
2009,women,75,3297000,age75_79,/women
2009,women,80,5229000,age80_,/women
2010,men,0,2715000,age00_04,/men
2010,men,5,2870000,age05_09,/men
2010,men,10,3047000,age10_14,/men
2010,men,15,3119000,age15_19,/men
2010,men,20,3330000,age20_24,/men
2010,men,25,3758000,age25_29,/men
2010,men,30,4272000,age30_34,/men
2010,men,35,4994000,age35_39,/men
2010,men,40,4508000,age40_44,/men
2010,men,45,4015000,age45_49,/men
2010,men,50,3842000,age50_54,/men
2010,men,55,4340000,age55_59,/men
2010,men,60,4966000,age60_64,/men
2010,men,65,3901000,age65_69,/men
2010,men,70,3271000,age70_74,/men
2010,men,75,2608000,age75_79,/men
2010,men,80,2764000,age80_,/men
2010,women,0,2589000,age00_04,/women
2010,women,5,2732000,age05_09,/women
2010,women,10,2904000,age10_14,/women
2010,women,15,2962000,age15_19,/women
2010,women,20,3201000,age20_24,/women
2010,women,25,3636000,age25_29,/women
2010,women,30,4146000,age30_34,/women
2010,women,35,4853000,age35_39,/women
2010,women,40,4426000,age40_44,/women
2010,women,45,3973000,age45_49,/women
2010,women,50,3847000,age50_54,/women
2010,women,55,4410000,age55_59,/women
2010,women,60,5153000,age60_64,/women
2010,women,65,4258000,age65_69,/women
2010,women,70,3792000,age70_74,/women
2010,women,75,3398000,age75_79,/women
2010,women,80,5446000,age80_,/women
2011,men,0,2713000,age00_04,/men
2011,men,5,2816000,age05_09,/men
2011,men,10,3027000,age10_14,/men
2011,men,15,3116000,age15_19,/men
2011,men,20,3256000,age20_24,/men
2011,men,25,3672000,age25_29,/men
2011,men,30,4107000,age30_34,/men
2011,men,35,4918000,age35_39,/men
2011,men,40,4658000,age40_44,/men
2011,men,45,4058000,age45_49,/men
2011,men,50,3830000,age50_54,/men
2011,men,55,4111000,age55_59,/men
2011,men,60,5104000,age60_64,/men
2011,men,65,3873000,age65_69,/men
2011,men,70,3345000,age70_74,/men
2011,men,75,2672000,age75_79,/men
2011,men,80,2909000,age80_,/men
2011,women,0,2583000,age00_04,/women
2011,women,5,2683000,age05_09,/women
2011,women,10,2883000,age10_14,/women
2011,women,15,2958000,age15_19,/women
2011,women,20,3116000,age20_24,/women
2011,women,25,3544000,age25_29,/women
2011,women,30,3991000,age30_34,/women
2011,women,35,4776000,age35_39,/women
2011,women,40,4564000,age40_44,/women
2011,women,45,4014000,age45_49,/women
2011,women,50,3831000,age50_54,/women
2011,women,55,4174000,age55_59,/women
2011,women,60,5292000,age60_64,/women
2011,women,65,4226000,age65_69,/women
2011,women,70,3860000,age70_74,/women
2011,women,75,3458000,age75_79,/women
2011,women,80,5659000,age80_,/women
2012,men,0,2698000,age00_04,/men
2012,men,5,2771000,age05_09,/men
2012,men,10,2999000,age10_14,/men
2012,men,15,3104000,age15_19,/men
2012,men,20,3210000,age20_24,/men
2012,men,25,3585000,age25_29,/men
2012,men,30,3975000,age30_34,/men
2012,men,35,4772000,age35_39,/men
