"","year","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,19,6,17,25,45,68,169,326,762,1613,2308,3090,4853,6744,8058,10678,14026,10920,4616,990,83
"2",1996,18,8,16,36,53,99,162,330,725,1697,2126,2958,4707,6425,7952,9958,12987,10571,4434,956,75
"3",1997,16,9,13,24,42,89,162,323,639,1596,2098,2784,4425,6440,8120,9912,12737,10513,4485,1066,102
"4",1998,19,8,12,23,44,81,188,341,653,1477,2133,2896,4265,6439,8572,9748,12145,10468,4647,1111,105
"5",1999,11,10,13,23,46,89,164,345,644,1407,2236,2871,4145,6458,8910,10219,11949,10716,4875,1044,109
"6",2000,12,6,5,16,33,71,153,306,557,1288,2256,2854,3926,5907,8559,9798,11200,10043,4794,1065,119
"7",2001,19,8,8,23,34,71,170,331,587,1189,2393,2641,3711,5732,8625,10203,10804,10049,5139,1109,113
"8",2002,12,5,4,14,32,71,171,323,614,1061,2311,2667,3542,5704,8362,10347,10474,9916,5099,1208,135
"9",2003,6,7,13,19,45,69,157,340,602,1030,2205,2710,3750,5597,8327,10970,10566,9855,5363,1319,169
"10",2004,11,8,9,13,31,52,170,314,566,1012,1847,2779,3663,5203,7911,11008,10405,9302,5470,1463,147
"11",2005,6,5,9,11,32,76,142,362,577,997,1792,3039,3665,4983,8026,11287,11491,9518,5693,1640,148
"12",2006,8,7,15,16,26,52,165,308,537,1004,1668,3125,3543,4683,7530,10927,11186,9072,5537,1618,174
"13",2007,7,5,8,12,26,56,172,356,600,971,1530,2858,3434,4776,7320,10618,11943,8904,5435,1604,203
"14",2008,9,8,7,17,23,50,143,344,595,901,1488,2664,3493,4609,7141,10773,12319,9185,5338,1671,194
"15",2009,5,3,6,19,20,55,122,342,618,932,1387,2461,3483,4631,6639,10170,12088,9143,5171,1654,211
"16",2010,4,4,6,14,21,66,138,315,611,872,1285,2323,3613,4512,6440,10062,12715,9809,5310,1698,232
"17",2011,10,2,10,5,17,39,101,317,594,853,1271,1948,3674,4310,6350,9802,12614,10302,5337,1727,214
"18",2012,9,4,6,9,19,35,100,286,576,819,1169,1856,3548,4140,6108,9591,12323,10753,5220,1741,219
"19",2013,5,5,12,12,13,35,81,241,564,820,1184,1694,3087,4083,5865,9035,12154,10786,5151,1564,225
"20",2014,4,3,9,10,24,36,96,227,594,815,1149,1593,2739,4201,5875,8526,11586,10664,5097,1456,218
"21",2015,3,6,7,10,13,32,81,210,564,839,1155,1557,2574,4198,5712,7863,11072,10482,5336,1573,214
"22",2016,4,3,9,10,14,34,81,213,548,827,1119,1470,2349,4399,5115,7769,10971,10325,5640,1500,229
"23",2017,2,5,9,4,11,32,85,204,536,903,1125,1442,2209,4383,5122,7817,10761,10604,6117,1555,208
"24",2018,3,6,3,10,14,21,90,203,524,861,1145,1397,2057,4043,5445,7675,10341,10586,6194,1527,199
"25",2019,3,6,4,11,12,22,91,186,465,918,1139,1415,2116,3671,5518,7646,10124,10346,6232,1612,198
