"","year","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,19,4,6,16,29,44,103,156,411,858,1175,1632,2558,3868,6588,10795,17312,17681,10603,2774,310
"2",1996,10,6,9,18,29,53,101,131,363,945,1147,1499,2434,3658,6150,10131,16315,17501,10088,2959,321
"3",1997,18,7,10,14,32,52,88,154,354,854,1086,1424,2287,3548,5836,9705,15479,17874,10484,3190,397
"4",1998,14,7,8,15,35,53,70,136,301,787,1180,1387,2093,3534,5781,9630,14970,17656,10697,3483,439
"5",1999,6,3,15,18,25,45,88,130,301,677,1112,1436,2109,3476,5523,9745,14494,17709,11476,3675,456
"6",2000,11,7,14,13,18,41,76,149,300,614,1187,1443,1872,3194,5416,9034,13569,16747,11477,3708,498
"7",2001,9,5,6,8,20,42,80,142,279,556,1192,1302,1740,2978,5002,8719,13088,16886,12026,3993,621
"8",2002,1,8,4,13,29,39,101,117,264,522,1091,1306,1784,2989,4805,8504,12765,16117,12584,4267,703
"9",2003,11,5,5,12,21,47,66,134,246,481,1013,1366,1758,2774,4728,8486,13049,15980,13127,4666,800
"10",2004,5,3,8,8,19,42,72,140,260,486,935,1365,1719,2647,4568,7844,12700,15476,13164,5142,883
"11",2005,4,5,5,11,20,34,74,145,265,465,839,1381,1760,2558,4585,7954,12957,15641,13858,5650,955
"12",2006,9,3,11,17,12,32,66,128,265,435,760,1386,1546,2356,4262,7533,12424,15335,13608,5711,999
"13",2007,3,4,5,8,19,27,84,145,262,483,711,1242,1492,2204,4092,7214,11938,15094,13524,6354,1128
"14",2008,5,8,4,13,22,40,61,144,272,446,707,1134,1545,2125,3871,6842,11749,15417,13709,6528,1238
"15",2009,7,3,8,19,22,29,55,134,243,415,656,1021,1572,2097,3466,6700,11226,14874,12675,6555,1264
"16",2010,9,4,9,5,18,26,55,149,230,421,650,846,1545,2078,3281,6347,11012,15015,13359,6843,1358
"17",2011,3,5,9,6,11,23,52,159,274,416,580,828,1630,1910,3293,6193,11116,15302,13793,7098,1531
"18",2012,3,1,12,13,13,27,54,135,230,349,544,763,1426,1956,3089,5858,10609,15258,13978,7047,1596
"19",2013,2,6,7,5,16,25,47,117,239,393,506,763,1274,1885,2876,5383,10388,15283,13947,6839,1611
"20",2014,6,11,9,5,10,24,36,84,249,350,567,650,1165,1806,2878,5167,9842,14437,13897,6429,1576
"21",2015,2,4,8,7,11,19,49,101,251,368,515,610,1045,1771,2847,4956,9489,14220,13656,6757,1701
"22",2016,5,4,4,7,12,13,37,94,278,375,505,674,964,1861,2537,4669,9106,13419,13645,6757,1631
"23",2017,0,3,4,6,8,20,42,73,253,400,546,574,930,1858,2456,4589,8995,13639,13661,7029,1596
"24",2018,2,1,10,12,7,20,40,102,209,433,509,604,895,1662,2723,4449,8624,13409,13531,6956,1576
"25",2019,4,7,10,3,11,13,40,88,199,425,530,598,805,1486,2567,4658,8146,11981,13465,7137,1568
